% r                      z                        
0.1                      2.0519416                
20.506123                4.8301935                
40.912247                5.903468                 
61.318367                6.653297                 
81.72449                 7.248533                 
102.130615               7.7506137                
122.536736               8.189453                 
142.94286                8.58206                  
163.34898                8.939109                 
183.7551                 9.267789                 
204.16122                9.573193                 
224.56735                9.859078                 
244.97346                10.12831                 
265.37958                10.383126                
285.7857                 10.625314                
306.19183                10.856329                
326.59796                11.077372                
347.0041                 11.289448                
367.41022                11.493409                
387.8163                 11.689985                
408.22244                11.879805                
428.62857                12.063414                
449.0347                 12.241293                
469.44083                12.413864                
489.84692                12.581504                
510.25305                12.744546                
530.6592                 12.90329                 
551.0653                 13.058007                
571.47144                13.20894                 
591.87756                13.356311                
612.2837                 13.50032                 
632.6898                 13.641153                
653.09595                13.778977                
673.502                  13.913948                
693.90814                14.046207                
714.3143                 14.175887                
734.7204                 14.303109                
755.1265                 14.427986                
775.53265                14.550622                
795.9388                 14.671115                
816.3449                 14.789556                
836.75104                14.906029                
857.15717                15.020614                
877.5633                 15.133385                
897.96936                15.244411                
918.3755                 15.35376                 
938.7816                 15.46149                 
959.18774                15.567661                
979.5939                 15.672327                
1000.0                   15.775539                
